Saint-André-les-Vergers	48.2784599	4.0507314
Lens	50.4291723	2.8319805
Cherbourg-en-Cotentin	49.6425343	-1.6249565
Bellegarde-sur-Valserine	46.1076476	5.8261219
Varennes-Vauzelles	47.0131960	3.1456935
Goussainville	49.0323168	2.4733628
Argenteuil	48.9479069	2.2481797
Bouguenais	47.1793010	-1.6233691
Saint-Priest	45.6965347	4.9441635
Cormeilles-en-Parisis	48.9759637	2.1998877
Chalon-sur-Saône	46.7888997	4.8529605
Fontainebleau	48.4049375	2.7015872
Apt	43.8757936	5.3970648
Saint-Médard-en-Jalles	44.8958887	-0.7170764
Mont-de-Marsan	43.8911318	-0.5009720
Pessac	44.8056150	-0.6308396
Nevers	46.9876601	3.1577203
Issy-les-Moulineaux	48.8250508	2.2734570
Villerupt	49.4684680	5.9326783
Hennebont	47.8058026	-3.2751174
Rueil-Malmaison	48.8777800	2.1802832
Le Bouscat	44.8661755	-0.5992399
Saint-Cloud	48.8437412	2.2193440
La Teste-de-Buch	44.6316943	-1.1491319
Trélazé	47.4460674	-0.4652452
Cesson-Sévigné	48.1197799	-1.6038829
Châtenay-Malabry	48.7670404	2.2775316
La Chapelle-Saint-Luc	48.3185478	4.0413095
Domont	49.0285536	2.3278097
Soisy-sous-Montmorency	48.9875044	2.3002885
Mâcon	46.3036683	4.8322266
Roquebrune-sur-Argens	43.4433565	6.6363623
Gaillac	43.9016766	1.8967943
Angoulême	45.6484505	0.1561947
Marly-le-Roi	48.8681762	2.0965935
Saint-Sébastien-sur-Loire	47.2035029	-1.4992075
Muret	43.4599858	1.3262332
Concarneau	47.8757017	-3.9223889
Vauréal	49.0300763	2.0205773
Villefranche-sur-Saône	45.9864749	4.7266110
Draguignan	43.5374662	6.4627333
Garges-lès-Gonesse	48.9703841	2.3990240
Évry	48.6241665	2.4289667
Caluire-et-Cuire	45.7969952	4.8423304
Vernon	49.0917814	1.4886571
Ermont	48.9917676	2.2585679
Vertou	47.1685211	-1.4722242
Bezons	48.9250016	2.2105491
Rive-de-Gier	45.5288401	4.6187386
Thonon-les-Bains	46.3731303	6.4779448
Pont-Sainte-Maxence	49.3012483	2.6045838
Saint-Martin-Boulogne	50.7258932	1.6338670
Tarare	45.8942555	4.4371374
Villeneuve-d'Ascq	50.6193174	3.1314002
Guipavas	48.4346366	-4.4009790
L'Isle-Adam	49.1125294	2.2186324
Carrières-sur-Seine	48.9134112	2.1779083
Saint-Fons	45.7001000	4.8493500
Aurillac	44.9285441	2.4433101
Colomiers	43.6121001	1.3282149
Orvault	47.2711217	-1.6232060
Bernay	49.0902278	0.5989157
Valence	44.9332277	4.8920811
Pontivy	48.0647729	-2.9675702
Chantilly	49.1931736	2.4636686
Tulle	45.2678347	1.7706797
Floirac	44.8327000	-0.5208230
Chenôve	47.2932000	5.0030800
Castelnaudary	43.3192021	1.9533495
Douai	50.3675677	3.0804641
Saint-Chamond	45.4748298	4.5098046
Val-de-Reuil	49.2716839	1.2128992
Arnouville	48.9892126	2.4202824
Les Ponts-de-Cé	47.4286962	-0.5270662
Lourdes	43.0940904	-0.0464975
Pau	43.2957547	-0.3685668
Nogent-sur-Oise	49.2720766	2.4695910
Meyzieu	45.7764637	5.0044767
La Ricamarie	45.4037177	4.3660765
Fontenay-aux-Roses	48.7911052	2.2870373
Yerres	48.7168110	2.4879753
Louviers	49.2157245	1.1646335
Sarcelles	48.9960813	2.3796245
Le Chambon-Feugerolles	45.3966546	4.3247696
Auray	47.6664485	-2.9833718
Landerneau	48.4514803	-4.2557901
Amilly	47.9778853	2.7673117
Plouzané	48.3817165	-4.6212044
Boulogne-sur-Mer	50.7259985	1.6118771
Francheville	45.7357480	4.7647304
Jouy-le-Moutier	49.0116000	2.0319400
Crépy-en-Valois	49.2358509	2.8900507
Plérin	48.5348817	-2.7695752
Gardanne	43.4556130	5.4710661
Vanves	48.8212037	2.2892590
Digoin	46.4810422	3.9786291
Annecy	45.8992348	6.1288847
La Chapelle-sur-Erdre	47.2996846	-1.5518632
Sens	48.1978559	3.2826060
Saint-Herblain	47.2233007	-1.6346964
Compiègne	49.4179497	2.8263171
L'Union	43.6501518	1.4846885
Cannes	43.5515198	7.0134418
Granville	48.8376284	-1.5959213
Beaune	47.0239064	4.8380426
Ville-d'Avray	48.8279362	2.1894241
Roche-la-Molière	45.4348987	4.3212622
Bagneux	48.7950560	2.3027323
Saint-Fargeau-Ponthierry	48.5361215	2.5273471
Mougins	43.6008898	6.9963543
Talence	44.8088438	-0.5879629
Couëron	47.2115054	-1.7271466
Châtellerault	46.8180047	0.5458120
Levallois-Perret	48.8929560	2.2881683
Firminy	45.3869468	4.2858545
Béziers	43.3426562	3.2131307
Eaubonne	48.9906696	2.2794326
Allonnes	47.9692830	0.1578819
Pontoise	49.0508845	2.1008067
Montrouge	48.8188544	2.3194375
Colombes	48.9227880	2.2543577
Chanteloup-les-Vignes	48.9784414	2.0302362
Alençon	48.4312059	0.0911374
Bergerac	44.8534568	0.4875310
Lomme	50.6457022	2.9870927
Osny	49.0660487	2.0614598
Sèvres	48.8247407	2.2127083
Villeneuve-la-Garenne	48.9350488	2.3324727
Brive-la-Gaillarde	45.1584982	1.5332389
Saint-Jean-d'Ardières	46.1251695	4.7378381
Le Teich	44.6357183	-1.0216522
Montfort-sur-Meu	48.1372782	-1.9551450
Plénée-Jugon	48.3636971	-2.4002895
Bernes-sur-Oise	49.1620172	2.2985653
Doué-la-Fontaine	47.1937935	-0.2761917
Buxerolles	46.6126727	0.3622284
Lampaul-Guimiliau	48.4941286	-4.0436113
L'Huisserie	48.0229521	-0.7681717
La Fresnais	48.5952811	-1.8437735
Langueux	48.4991000	-2.7095900
Voves	48.2721481	1.6272223
Sorbiers	45.4873195	4.4507034
Revel	43.4582102	2.0055890
Tinténiac	48.3293178	-1.8352875
La Roquette-sur-Siagne	43.5810901	6.9557118
Verneuil-en-Halatte	49.2736640	2.5188916
Plabennec	48.5020355	-4.4268474
Bannalec	47.9325142	-3.6981199
Escalquens	43.5183300	1.5620474
Pontcharra-sur-Turdine	45.8748314	4.4897842
Saint-Prix	49.0146499	2.2674910
Liffré	48.2145992	-1.5059748
Mouans-Sartoux	43.6203852	6.9703991
Aire-sur-l'Adour	43.7006462	-0.2647028
Calvisson	43.7853458	4.1900505
Le Folgoët	48.5635555	-4.3400067
Cléder	48.6612675	-4.1039679
Veauche	45.5622913	4.2892399
Brécey	48.7243382	-1.1662557
Chaponost	45.7107025	4.7469158
Levens	43.8477377	7.2401105
Saint-Brandan	48.3899720	-2.8701914
Saint-Romain-le-Puy	45.5549769	4.1248446
Aucamville	43.6687865	1.4291655
Couzon-au-Mont-d'Or	45.8435075	4.8252704
Saint-Joachim	47.3836823	-2.2020678
Paray-le-Monial	46.4505590	4.1177959
Barsac	44.6043291	-0.3234350
Saint-Paul-de-Fenouillet	42.8105182	2.5042356
Monistrol-sur-Loire	45.2926341	4.1727546
Saint-Ciers-sur-Gironde	45.2934579	-0.6158131
Nonancourt	48.7709287	1.1977498
Égletons	45.4065225	2.0450180
Saint-Pair-sur-Mer	48.8139133	-1.5665949
Ydes	45.3459496	2.4367430
Les Andelys	49.2469193	1.4215534
Ampuis	45.4888765	4.8112060
Bricquebec	49.4717312	-1.6321305
Évron	48.1560336	-0.4029782
Le Mesnil-en-Thelle	49.1768774	2.2841620
La Loupe	48.4737000	1.0252100
Ploudalmézeau	48.5410278	-4.6576826
Gournay-sur-Marne	48.8597463	2.5769908
